Gene	Missense_Path	Total_Path	Percent_Missense_Path
DHDDS	2	5	40.0
DHFR	1	2	50.0
DHH	5	8	62.5
DHODH	6	6	100.0
DHTKD1	0	9	0.0
DHX30	7	7	100.0
DHX37	2	2	100.0
DIABLO	1	1	100.0
DIAPH1	0	8	0.0
DICER1	5	189	2.65
DIS3L2	1	5	20.0
DISP1	0	1	0.0
DKC1	40	43	93.02
DLAT	1	4	25.0
PIH1D2	1	1	100.0
DLC1	1	1	100.0
DLD	7	33	21.21
DLG3	1	7	14.29
DLG3-AS1	0	1	0.0
DLG4	0	2	0.0
DLL3	3	12	25.0
DLL4	9	13	69.23
DLX3	1	5	20.0
DLX4	0	1	0.0
DLX5	2	3	66.67
DMBX1	1	1	100.0
DMD	11	575	1.91
DMGDH	0	2	0.0
DMP1	1	5	20.0
DMRT1	1	1	100.0
DMXL2	1	2	50.0
DNA2	1	6	16.67
DNAAF1	2	17	11.76
DNAAF2	0	13	0.0
DNAAF3	0	11	0.0
DNAAF4-CCPG1	1	9	11.11
DNAAF5	1	6	16.67
DNAH11	2	55	3.64
CDCA7L	0	4	0.0
DNAH1	3	15	20.0
DNAH5	9	115	7.83
DNAH7	1	1	100.0
DNAH8	0	13	0.0
LOC100131047	0	5	0.0
DNAI1	2	15	13.33
DNAI2	1	16	6.25
DNAJB11	2	5	40.0
DNAJB13	1	2	50.0
DNAJB2	1	8	12.5
DNAJB5	0	1	0.0
DNAJB6	10	11	90.91
DNAJC12	1	2	50.0
DNAJC19	0	3	0.0
DNAJC21	1	5	20.0
DNAJC3	0	1	0.0
DNAJC5	1	2	50.0
DNAJC6	1	5	20.0
DNAL1	1	2	50.0
DNAL4	0	1	0.0
DNM1	21	22	95.45
CIZ1	4	4	100.0
DNM1L	2	8	25.0
YARS2	7	8	87.5
DNM2	23	24	95.83
DNMT1	6	6	100.0
DNMT3A	15	36	41.67
DNMT3B	7	11	63.64
DOCK1	0	1	0.0
DOCK2	1	4	25.0
DOCK3	0	1	0.0
DOCK6	2	7	28.57
LOC105372273	1	8	12.5
DOCK7	0	12	0.0
DOCK8	1	22	4.55
DOK7	2	23	8.7
DOLK	5	6	83.33
DONSON	2	8	25.0
DPAGT1	12	16	75.0
DPF2	4	4	100.0
DPM1	1	3	33.33
ADNP-AS1	2	3	66.67
DPM2	1	2	50.0
DPM3	3	3	100.0
DPT	1	1	100.0
DPY19L2	2	5	40.0
DPYD	2	41	4.88
DPYD-AS1	0	14	0.0
DPYS	5	8	62.5
DPYSL2	0	1	0.0
DRAM2	3	8	37.5
DRC1	0	3	0.0
DRD4	0	1	0.0
DRP2	0	2	0.0
DSC2	4	23	17.39
DSCAS	0	1	0.0
DSC3	0	1	0.0
DSCAM	0	1	0.0
DSCAML1	1	1	100.0
DSE	0	2	0.0
DSG1	0	11	0.0
DSG1-AS1	0	1	0.0
DSG2	7	28	25.0
DSG2-AS1	1	9	11.11
DSG1-AS1	2	4	50.0
DSP	16	158	10.13
DSPP	4	8	50.0
DST	0	12	0.0
DSTYK	1	3	33.33
DTNA	3	3	100.0
DTNBP1	0	2	0.0
DUOX2	2	17	11.76
DUOXA2	0	5	0.0
DUSP6	1	2	50.0
DVL1	0	17	0.0
DVL3	0	6	0.0
DYM	4	14	28.57
DYNC1H1	56	58	96.55
DYNC2H1	73	143	51.05
DYNC2LI1	3	10	30.0
ABCG5	3	7	42.86
DYRK1A	10	81	12.35
DYRK1B	2	2	100.0
DYSF	30	209	14.35
LOC110121121	0	1	0.0
DZIP1L	2	4	50.0
EARS2	10	12	83.33
EBF3	16	30	53.33
EBP	20	40	50.0
ECE1	1	1	100.0
ECEL1	8	20	40.0
ECHS1	14	17	82.35
ECM1	2	9	22.22
EDA	43	93	46.24
EDARADD	4	8	50.0
EDC3	1	1	100.0
EDN1	3	4	75.0
EDN3	4	5	80.0
EDNRA	2	2	100.0
EDNRB	0	2	0.0
EDNRB-AS1	3	10	30.0
EED	2	5	40.0
EEF1A2	13	14	92.86
EEF2	1	1	100.0
EFEMP1	2	2	100.0
EFEMP2	8	12	66.67
MUS81	1	1	100.0
EFHC1	2	5	40.0
EFL1	3	3	100.0
EFNB1	12	25	48.0
EFTUD2	8	42	19.05
EGF	1	1	100.0
EGFR	27	40	67.5
EGFR-AS1	5	12	41.67
EGLN1	3	3	100.0
EGR2	11	11	100.0
EHBP1	0	1	0.0
EHHADH	0	1	0.0
EHMT1	6	68	8.82
LOC651337	0	1	0.0
EIF2AK3	1	6	16.67
LOC101928371	0	2	0.0
EIF2AK4	3	27	11.11
EIF2B1	6	7	85.71
EIF2B2	8	11	72.73
EIF2B3	5	5	100.0
EIF2B4	7	8	87.5
EIF2B5	19	20	95.0
EIF2S3	3	3	100.0
EIF4A3	1	1	100.0
ELAC2	5	11	45.45
ELANE	27	36	75.0
ELF2	1	1	100.0
ELMO2	0	3	0.0
ELMOD3	1	1	100.0
ELN	2	53	3.77
ELOC	3	3	100.0
ELOVL4	2	13	15.38
ELOVL5	2	2	100.0
ELP1	1	45	2.22
ELP2	2	3	66.67
PAX6DRR	0	1	0.0
EMC1	0	1	0.0
EMC1-AS1	1	2	50.0
EMD	5	37	13.51
EMG1	1	1	100.0
EML1	2	4	50.0
EMP2	2	3	66.67
ENAM	0	6	0.0
ENG	12	84	14.29
LOC102723566	4	52	7.69
ENO3	2	3	66.67
ENPP1	12	20	60.0
ENTPD1-AS1	0	1	0.0
COQ6	4	10	40.0
EOGT	3	6	50.0
EP300	10	56	17.86
EPAS1	3	3	100.0
EPB41	2	3	66.67
EPB41L1	0	1	0.0
EPB41L4A	1	1	100.0
EPB42	4	8	50.0
EPCAM	1	14	7.14
EPG5	2	28	7.14
EPHA2	4	5	80.0
EPHA4	1	1	100.0
EPHA5	1	1	100.0
CEP63	0	3	0.0
EPHB2	3	4	75.0
EPHB4	1	1	100.0
EPM2A	4	10	40.0
LOC100507557	2	4	50.0
EPO	1	3	33.33
EPOR	0	3	0.0
EPRS	3	5	60.0
EPS8	0	2	0.0
EPS8L2	0	2	0.0
ERAL1	1	1	100.0
ERBB2	15	28	53.57
ERBB3	9	10	90.0
ERBB4	8	9	88.89
ERCC1	1	6	16.67
CD3EAP	0	1	0.0
TRU-TCA1-1	0	1	0.0
ERCC2	13	21	61.9
ERCC3	2	6	33.33
ERCC4	5	12	41.67
BIVM-ERCC5	5	19	26.32
ERCC6	7	48	14.58
ERCC6-PGBD3	0	20	0.0
PGBD3	0	4	0.0
ERCC6L2	0	3	0.0
ERCC8	3	30	10.0
ERF	2	17	11.76
ERGIC1	1	1	100.0
ERI1	0	1	0.0
ERLIN1	0	2	0.0
ERLIN2	2	7	28.57
ERMAP	1	2	50.0
ERMARD	1	1	100.0
ESCO2	2	29	6.9
ESPN	3	7	42.86
ESR1	4	9	44.44
ESRP1	1	2	50.0
ESRRB	4	9	44.44
ETFA	2	5	40.0
ETFB	5	5	100.0
ETFDH	23	39	58.97
ETHE1	11	32	34.38
ETV6	4	8	50.0
EVC2	1	66	1.52
EVC	3	54	5.56
EXO1	0	1	0.0
EXOC3L2	0	1	0.0
LOC101928861	1	1	100.0
EXOC6B	0	3	0.0
EXOSC2	2	2	100.0
EXOSC3	5	10	50.0
EXOSC8	1	1	100.0
EXOSC9	1	2	50.0
EXPH5	0	1	0.0
EXT1	13	82	15.85
EXT2	1	35	2.86
EXTL3	3	3	100.0
EYA1	9	43	20.93
EYA4	0	5	0.0
TARID	0	5	0.0
EYS	7	77	9.09
EZH2	24	26	92.31
F10	1	4	25.0
F11	15	54	27.78
F11-AS1	6	16	37.5
SLC34A1	4	6	66.67
F13A1	10	14	71.43
F13B	1	2	50.0
F2	11	13	84.62
F5	7	14	50.0
F7	9	12	75.0
F8	144	209	68.9
F9	55	78	70.51
FA2H	9	14	64.29
FAAH2	0	1	0.0
FADD	1	1	100.0
FAH	13	47	27.66
FAM111A	1	1	100.0
FAM111B	6	7	85.71
FAM120AOS	1	1	100.0
FAM126A	1	6	16.67
FAM136A	0	1	0.0
FAM161A	0	13	0.0
FAM177A1	0	1	0.0
FAM186B	0	1	0.0
NSMCE3	2	2	100.0
FAM20A	0	4	0.0
FAM20C	8	12	66.67
FAM222A-AS1	1	1	100.0
FAM83H	0	14	0.0
FAM98C	0	1	0.0
FAN1	1	3	33.33
MTMR10	1	3	33.33
FANCA	17	136	12.5
ZNF276	3	23	13.04
FANCB	1	3	33.33
FANCC	1	34	2.94
C9orf3	2	41	4.88
FANCD2OS	1	1	100.0
LOC107303338	2	10	20.0
FANCE	0	4	0.0
FANCF	1	6	16.67
FANCG	0	14	0.0
FANCI	1	9	11.11
FANCL	0	7	0.0
FANCM	0	5	0.0
FAR1	2	4	50.0
FARS2	10	14	71.43
FARSB	7	8	87.5
FAS	2	31	6.45
FASLG	0	2	0.0
FASTKD1	1	1	100.0
FASTKD2	1	5	20.0
SLC36A1	2	2	100.0
FAT4	4	12	33.33
FBLN5	10	11	90.91
FBN1	626	1373	45.59
FBN2	27	44	61.36
FBP1	10	22	45.45
FBXL4	20	52	38.46
FBXO11	3	5	60.0
FBXO31	0	1	0.0
FBXO38	1	1	100.0
FBXO7	1	5	20.0
FBXW7	14	14	100.0
HIST2H2BF	0	1	0.0
FCN3	0	1	0.0
RUSC1-AS1	1	3	33.33
FDXR	4	5	80.0
FECH	5	13	38.46
FERMT1	3	24	12.5
FERMT3	0	4	0.0
FEZF1	0	1	0.0
FEZF1	1	1	100.0
FGA	4	9	44.44
FGB	3	6	50.0
FGD1	8	21	38.1
TSR2	0	2	0.0
FGD4	1	17	5.88
FGF10	7	14	50.0
FGF12	2	2	100.0
FGF14	1	3	33.33
FGF16	0	3	0.0
FGF17	2	2	100.0
FGF20	0	1	0.0
FGF23	8	9	88.89
FGF3	3	9	33.33
LOC109115964	3	4	75.0
FGF5	0	3	0.0
FGF8	8	18	44.44
FGF9	2	2	100.0
FGFR1	51	69	73.91
FGFR2	29	91	31.87
FGFR3	26	49	53.06
FGFR4	3	5	60.0
FGG	3	7	42.86
FH	41	163	25.15
FHL1	9	22	40.91
FIBP	0	1	0.0
FIG4	6	24	25.0
FIGLA	0	1	0.0
FKBP10	2	14	14.29
FKBP14	0	2	0.0
FKRP	19	59	32.2
FKTN	6	35	17.14
FLAD1	1	9	11.11
FLCN	3	137	2.19
FLG2	0	2	0.0
FLG	0	68	0.0
FLG-AS1	0	13	0.0
FLI1	6	7	85.71
FLNA	27	117	23.08
LOC107988032	0	3	0.0
FLNB	30	42	71.43
FLNB-AS1	0	1	0.0
FLNC	3	29	10.34
FLNC-AS1	3	18	16.67
MACROD2	1	1	100.0
FLT3	33	37	89.19
FLT4	10	11	90.91
FLVCR1	6	8	75.0
FLVCR2	5	7	71.43
LOC102724153	0	2	0.0
FMN2	1	5	20.0
FMO3	6	17	35.29
FMR1	2	6	33.33
LOC107032825	0	1	0.0
FN1	9	11	81.82
FOLR1	2	8	25.0
FOXC1	11	41	26.83
FOXC2	0	4	0.0
FOXC2-AS1	2	4	50.0
FOXE1	4	4	100.0
LINC01389	6	8	75.0
FOXF1	3	7	42.86
FOXG1	37	98	37.76
FOXI1	0	1	0.0
FOXL2	14	68	20.59
FOXN1	1	6	16.67
FOXP1	7	41	17.07
FOXP2	2	12	16.67
FOXP3	15	23	65.22
FOXP4	0	1	0.0
FOXRED1	8	13	61.54
FRAS1	1	25	4.0
FREM1	4	8	50.0
FREM2	2	9	22.22
FRMD4A	0	1	0.0
FRMD7	7	11	63.64
FRMPD4	1	2	50.0
FRRS1L	0	8	0.0
FSHB	2	5	40.0
FSHR	15	16	93.75
FSIP2	0	2	0.0
FSIP2-AS1	0	2	0.0
FTCD	1	3	33.33
FTCD-AS1	1	2	50.0
FTH1	0	1	0.0
FTL	3	19	15.79
FTO	3	3	100.0
FTSJ1	0	1	0.0
FUCA1	4	14	28.57
FUS	13	20	65.0
FUT1	2	3	66.67
LOC105447645	0	1	0.0
FUT8	1	4	25.0
FUZ	0	1	0.0
FXN	5	15	33.33
FXYD6-FXYD2	1	1	100.0
FYB1	0	2	0.0
FYCO1	3	8	37.5
FZD2	3	4	75.0
PRSS23	7	14	50.0
FZD6	0	4	0.0
G6PC3	2	10	20.0
G6PC	9	40	22.5
G6PD	24	25	96.0
GAA	47	156	30.13
GAB1	1	1	100.0
GABBR2	5	5	100.0
GABRA1	20	23	86.96
GABRB1	3	3	100.0
GABRB2	19	19	100.0
GABRB3	18	18	100.0
GABRG2	10	27	37.04
GAD1	2	2	100.0
GAL3ST2	1	1	100.0
GAL	1	1	100.0
GALC	16	90	17.78
GALE	8	11	72.73
GALK1	3	14	21.43
GALNS	20	41	48.78
TRAPPC2L	1	3	33.33
GALNT14	0	1	0.0
GALNT3	3	15	20.0
POC1B	0	1	0.0
GALT	95	210	45.24
GAMT	9	17	52.94
GAN	8	16	50.0
GANAB	3	6	50.0
GARS	17	18	94.44
GAS8	0	3	0.0
GATA1	11	19	57.89
GATA2	11	26	42.31
GATA3	4	14	28.57
GATA4	11	32	34.38
GATA5	5	5	100.0
GATA6	8	15	53.33
GATAD1	1	1	100.0
GATAD2B	1	33	3.03
GATB	1	2	50.0
GATC	1	1	100.0
GATM	1	7	14.29
GBA2	4	8	50.0
GBA	0	5	0.0
LOC106627981	53	67	79.1
GBE1	13	28	46.43
GCDH	37	71	52.11
SYCE2	0	5	0.0
GCGR	1	1	100.0
GCH1	17	38	44.74
GCK	121	177	68.36
GCKR	1	3	33.33
GCLC	1	2	50.0
GCM2	3	6	50.0
GCNT2	6	9	66.67
MYZAP	0	1	0.0
GCSH	1	3	33.33
GDAP1	17	33	51.52
CERS1	6	11	54.55
GDF2	3	3	100.0
GDF3	5	5	100.0
GDF5	1	3	33.33
GDF5OS	11	13	84.62
GDF6	7	8	87.5
GDF9	0	1	0.0
GDI1	3	6	50.0
GFAP	101	109	92.66
GFER	3	7	42.86
GFI1	2	2	100.0
GFI1B	2	6	33.33
GFM1	13	19	68.42
GFM2	2	5	40.0
GFPT1	4	9	44.44
GGCX	10	12	83.33
GH-LCR	3	16	18.75
GHR	12	24	50.0
GHRHR	8	10	80.0
GHSR	1	2	50.0
GIGYF2	1	1	100.0
GINS1	2	3	66.67
GIPC3	4	7	57.14
GJA1	25	27	92.59
GJA3	13	13	100.0
GJA5	6	7	85.71
GJA8	16	17	94.12
GJB1	64	87	73.56
GJB2	59	103	57.28
GJB3	9	11	81.82
GJB4	6	7	85.71
GJB6	5	8	62.5
GJC2	11	26	42.31
GK	3	8	37.5
RPL36A-HNRNPH2	95	174	54.6
GLB1	22	69	31.88
GLDC	57	120	47.5
GLDN	4	10	40.0
GLE1	6	7	85.71
GLI1	0	3	0.0
GLI2	3	25	12.0
GLI3	4	60	6.67
GLIS2	1	2	50.0
GLIS3	2	4	50.0
GLMN	0	6	0.0
GLRA1	24	33	72.73
GLRB	2	6	33.33
GLRX5	2	5	40.0
GLUD1	12	12	100.0
GLUD2	1	1	100.0
GLUL	4	4	100.0
GLYCTK	0	1	0.0
GM2A	1	6	16.67
GMNN	1	3	33.33
GMPPA	2	5	40.0
GMPPB	9	16	56.25
GNA11	7	8	87.5
GNA14	1	1	100.0
GNAI2	4	4	100.0
GNAI3	2	2	100.0
GNAL	3	9	33.33
GNAO1	21	24	87.5
GNAQ	3	3	100.0
GNAS	5	41	12.2
GNAS-AS1	1	2	50.0
GNAT1	3	5	60.0
GNAT2	0	5	0.0
GNB1	6	14	42.86
GNB3	1	2	50.0
CDCA3	0	1	0.0
GNB4	2	2	100.0
GNB5	1	8	12.5
GNE	14	64	21.88
CNPY3-GNMT	2	3	66.67
GNPAT	2	2	100.0
GNPTAB	30	151	19.87
GNPTG	2	39	5.13
GNRH1	0	1	0.0
GNRHR	13	21	61.9
GNS	0	7	0.0
GORAB	2	5	40.0
LRRC37A2	0	4	0.0
GP1BA	5	9	55.56
SEPT5-GP1BB	3	5	60.0
GP6	1	2	50.0
GP9	6	6	100.0
GPAA1	5	7	71.43
GPC3	4	19	21.05
GPC4	1	5	20.0
GPC6	0	1	0.0
GPC6-AS2	0	1	0.0
GPD1	1	4	25.0
GPD2	1	1	100.0
GPHN	1	1	100.0
PIGH	2	2	100.0
RDH11	0	2	0.0
RDH12	8	16	50.0
ZFYVE26	3	5	60.0
GPI	9	11	81.82
GPIHBP1	7	9	77.78
ALDH5A1	0	1	0.0
GPNMB	0	6	0.0
GPR143	11	15	73.33
GPR153	1	1	100.0
GPR161	0	1	0.0
GPR179	3	11	27.27
GPR68	1	3	33.33
GPR88	0	1	0.0
GPSM2	1	14	7.14
GPT2	2	5	40.0
GPX4	0	2	0.0
GREB1L	7	15	46.67
GREM2	2	2	100.0
GRHL2	2	7	28.57
GRHL3	3	12	25.0
GRHPR	15	57	26.32
GRIA3	7	10	70.0
GRIA4	1	1	100.0
GRID2	2	2	100.0
GRIK2	0	1	0.0
GRIK4	0	1	0.0
LOC101929208	1	1	100.0
GRIN1	32	35	91.43
GRIN2A	34	54	62.96
GRIN2B	36	58	62.07
GRIN2D	1	1	100.0
GRIP1	2	4	50.0
GRM1	2	3	66.67
GRM6	2	4	50.0
LOC100130798	3	6	50.0
GRM7	3	3	100.0
GRN	4	35	11.43
GRXCR1	2	8	25.0
GRXCR2	0	1	0.0
GSC	0	3	0.0
GSDME	0	2	0.0
GSN	2	3	66.67
GSPT2	1	1	100.0
GSS	6	7	85.71
GSTP1	0	1	0.0
GTF2E2	2	2	100.0
GTF2H5	1	2	50.0
GTF2IRD1	1	1	100.0
GTF3C1	1	1	100.0
GTPBP2	0	4	0.0
GTPBP3	7	14	50.0
GUCA1A	7	7	100.0
GUCY1A1	0	6	0.0
C12orf60	4	6	66.67
C12orf60	1	1	100.0
GUCY2D	11	26	42.31
GUF1	1	1	100.0
GUSB	12	25	48.0
GYG1	1	7	14.29
GYPA	1	1	100.0
GYS1	2	8	25.0
GYS2	8	19	42.11
GZF1	0	2	0.0
H3F3A	3	3	100.0
H6PD	1	5	20.0
MTA3	0	2	0.0
HACE1	0	13	0.0
HADH	5	8	62.5
HADHA	7	28	25.0
GAREM2	3	27	11.11
HADHB	11	19	57.89
HAMP	0	2	0.0
HAND2-AS1	0	2	0.0
HARS2	2	4	50.0
HARS	2	6	33.33
HAX1	0	5	0.0
HBA2	1	1	100.0
LOC106804613	4	4	100.0
LOC106804612	6	25	24.0
LOC106099062	1	1	100.0
LOC106099062	29	102	28.43
LOC106099062	0	4	0.0
LOC107133510	8	32	25.0
HBD	0	1	0.0
LOC106099063	2	5	40.0
LOC109951029	0	3	0.0
LOC106099064	0	5	0.0
LOC106099065	4	9	44.44
HCCS	3	4	75.0
HCFC1	7	9	77.78
HCN1	9	10	90.0
HCN4	5	7	71.43
HCRT	1	1	100.0
HDAC1	1	1	100.0
HDAC3	2	2	100.0
HDAC4	1	1	100.0
HDAC6	0	1	0.0
HDAC8	10	37	27.03
HDC	0	1	0.0
ACOT1	0	1	0.0
HECW2	9	9	100.0
HELLS	1	6	16.67
HELZ	1	1	100.0
HEPACAM	8	11	72.73
HERC1	1	10	10.0
HERC2	3	6	50.0
HES7	4	5	80.0
HESX1	6	13	46.15
HEXA	32	108	29.63
HEXB	8	37	21.62
HFE	1	10	10.0
HFM1	2	4	50.0
HGD	14	42	33.33
HGF	0	1	0.0
HGSNAT	10	38	26.32
HHAT	0	1	0.0
HIBCH	7	15	46.67
HIKESHI	1	3	33.33
HINT1	9	10	90.0
HIST1H1E	0	5	0.0
HIST1H3I	2	2	100.0
HIVEP1	1	1	100.0
HIVEP2	2	12	16.67
HJV	2	12	16.67
HK1	6	8	75.0
HLCS	9	30	30.0
HMBS	19	36	52.78
HMCN1	0	1	0.0
HMGA2	0	2	0.0
HMGB3	0	1	0.0
HMGCL	3	21	14.29
HMGCS2	4	8	50.0
HMX1	0	1	0.0
HNF1A	41	76	53.95
HNF1B	12	32	37.5
HNF4A	13	29	44.83
HNMT	2	3	66.67
HNRNPA1	19	20	95.0
HNRNPA2B1	1	1	100.0
HNRNPDL	1	3	33.33
RPL36A-HNRNPH2	2	2	100.0
HNRNPK	3	13	23.08
HNRNPR	0	1	0.0
HNRNPU	2	36	5.56
HOGA1	11	35	31.43
HOMER2	1	1	100.0
HOXA11	0	1	0.0
HOXA13	1	2	50.0
HOXA1	0	2	0.0
HOXA2	1	3	33.33
HOXB1	2	3	66.67
HOXC13-AS	0	2	0.0
HOXD10	1	1	100.0
HOXD13	9	17	52.94
HPCA	3	3	100.0
HPD	1	5	20.0
HPGD	0	6	0.0
HPRT1	16	28	57.14
HPS1	1	28	3.57
HPS3	1	5	20.0
HPS4	1	13	7.69
HPS5	3	19	15.79
HPS6	2	10	20.0
HPSE2	0	5	0.0
HR	2	9	22.22
LRRC56	12	37	32.43
HRG	1	1	100.0
HSD11B1-AS1	1	1	100.0
HSD11B2	8	13	61.54
HSD17B10	8	10	80.0
HSD17B3	15	21	71.43
HSD17B3-AS1	0	1	0.0
HSD17B4	10	55	18.18
HSD3B2	6	10	60.0
HSD3B7	1	8	12.5
HSF4	5	8	62.5
HSPA9	2	5	40.0
HSPB1	19	23	82.61
HSPB8	5	6	83.33
HSPD1	4	4	100.0
HSPG2	1	7	14.29
HTR1A	0	1	0.0
HTRA1	15	24	62.5
HTRA2	0	2	0.0
LOXL3	0	2	0.0
HTT	3	3	100.0
HUWE1	32	33	96.97
HYAL1	1	2	50.0
HYDIN	1	5	20.0
IARS2	1	2	50.0
IARS	6	9	66.67
IBA57	7	11	63.64
ICK	1	1	100.0
ICOS	0	1	0.0
ICOSLG	0	1	0.0
IDH1	1	1	100.0
IDH2	6	6	100.0
IDH3B	1	1	100.0
IDS	13	37	35.14
LOC106050102	18	42	42.86
IDUA	24	81	29.63
SLC26A1	6	13	46.15
IER3IP1	2	4	50.0
IFIH1	11	12	91.67
IFITM5	1	2	50.0
IFNAR2	0	1	0.0
IFNGR1	3	15	20.0
IFNGR2	1	4	25.0
IFT122	5	12	41.67
IFT140	8	20	40.0
LOC105371046	10	15	66.67
IFT172	5	18	27.78
KRTCAP3	3	4	75.0
LOC105373021	1	1	100.0
IFT43	4	4	100.0
IFT52	0	3	0.0
IFT57	0	1	0.0
IFT74	0	1	0.0
TRIM59-IFT80	6	11	54.55
IFT81	1	4	25.0
IGF1	2	2	100.0
IGF1R	2	9	22.22
INS-IGF2	1	5	20.0
IGF2R	2	2	100.0
IGFALS	2	5	40.0
IGFBP4	1	1	100.0
IGFBP7	0	1	0.0
IGHM	0	1	0.0
IGHMBP2	14	47	29.79
IGLL1	0	2	0.0
IGSF1	1	7	14.29
IGSF3	0	1	0.0
IHH	11	11	100.0
IKBKB	0	2	0.0
IKBKG	14	37	37.84
G6PD	1	1	100.0
IKZF1	0	8	0.0
IL10	0	1	0.0
IL10RA	4	4	100.0
IL10RB	0	2	0.0
IL11RA	4	5	80.0
IL12B	0	3	0.0
IL12RB1	3	10	30.0
IL17F	1	1	100.0
IL17RA	1	8	12.5
IL17RC	0	3	0.0
IL17RD	4	5	80.0
IL1RAPL1	0	5	0.0
IL1RN	0	3	0.0
IL21-AS1	1	1	100.0
IL21R	1	2	50.0
IL2RA	1	6	16.67
IL2RB	0	1	0.0
IL2RG	19	47	40.43
IL36RN	5	6	83.33
IL7R	5	20	25.0
ILDR1	1	7	14.29
IMPA1	0	1	0.0
IMPAD1	2	5	40.0
IMPDH1	6	7	85.71
IMPG1	3	7	42.86
IMPG2	4	24	16.67
INA	1	1	100.0
INCENP	1	1	100.0
INF2	17	18	94.44
ING1	3	3	100.0
INO80	2	2	100.0
INPP5B	1	1	100.0
INPP5E	18	25	72.0
INPP5K	6	7	85.71
INPPL1	5	12	41.67
INS	0	2	0.0
INS-IGF2	26	30	86.67
INSL3	3	5	60.0
INSR	25	37	67.57
INTU	1	4	25.0
INVS	1	11	9.09
IQCB1	0	21	0.0
IQCE	0	2	0.0
IQSEC2	13	50	26.0
IRAK3	0	2	0.0
IRAK4	0	6	0.0
IRF1	2	2	100.0
IRF2BP2	1	1	100.0
IRF2BPL	3	9	33.33
BCL2L12	1	1	100.0
IRF6	9	42	21.43
IRF7	1	2	50.0
IRF8	4	4	100.0
IRGM	0	1	0.0
IRS1	1	1	100.0
IRX5	2	3	66.67
ISCA1	1	1	100.0
ISCA2	1	2	50.0
ISCU	1	2	50.0
ISG15	0	3	0.0
ISPD	4	19	21.05
ISPD-AS1	0	5	0.0
ITCH	0	1	0.0
ITGA2B	12	20	60.0
ITGA3	3	4	75.0
CERKL	0	2	0.0
ITGA6-AS1	0	1	0.0
ITGA7	1	12	8.33
ITGA8	2	5	40.0
ITGB2	14	28	50.0
ITGB3	8	11	72.73
THCAT158	3	4	75.0
ITGB4	8	19	42.11
ITGB6	4	5	80.0
ITK	2	4	50.0
ITM2B	1	3	33.33
ITPA	0	6	0.0
ITPR1	22	30	73.33
ITPR2	1	1	100.0
ITSN1	1	1	100.0
ITSN2	1	1	100.0
IVD	10	44	22.73
IYD	1	4	25.0
JAG1	12	119	10.08
JAGN1	6	8	75.0
JAK1	3	3	100.0
INSL6	9	9	100.0
JAK3	15	25	60.0
JAKMIP1	1	1	100.0
JAM3	2	3	66.67
JPH2	2	2	100.0
JUP	2	8	25.0
KANK1	0	1	0.0
KANK2	3	3	100.0
KANSL1	1	29	3.45
KARS	5	8	62.5
KAT14	1	1	100.0
KAT6A	3	42	7.14
KAT6B	0	20	0.0
DUPD1	1	27	3.7
KATNB1	4	6	66.67
KBTBD13	2	3	66.67
KCNA1	22	24	91.67
KCNA2	5	15	33.33
KCNA5	3	4	75.0
KCNB1	21	26	80.77
KCNC1	5	5	100.0
KCNC3	2	7	28.57
KCND3	6	7	85.71
KCNE1	5	10	50.0
KCNE2	5	5	100.0
KCNH1	14	14	100.0
KCNH2	129	340	37.94
KCNJ10	9	10	90.0
KCNJ11	32	61	52.46
GIGYF2	1	5	20.0
KCNJ18	4	6	66.67
KCNJ1	6	11	54.55
KCNJ2	34	38	89.47
KCNJ5	6	6	100.0
KCNJ6	2	3	66.67
KCNJ10	0	1	0.0
KCNK17	1	1	100.0
KCNK18	0	2	0.0
KCNK3	7	7	100.0
KCNK4-TEX40	2	2	100.0
KCNK9	2	2	100.0
KCNMA1	3	4	75.0
KCNMA1-AS1	2	2	100.0
KCNN2	0	1	0.0
KCNN4	3	3	100.0
KCNQ1	141	239	59.0
KCNQ1-AS1	0	7	0.0
KCNQ1OT1	0	6	0.0
KCNQ2	185	304	60.86
KCNQ3	15	16	93.75
KCNQ4	21	28	75.0
KCNQ5	3	5	60.0
KCNT1	29	29	100.0
KCNT2	1	1	100.0
KCNV2	4	12	33.33
KCTD17	1	1	100.0
KCTD19	1	1	100.0
KCTD1	11	11	100.0
KCTD3	0	1	0.0
KCTD7	9	15	60.0
KDF1	1	1	100.0
KDM1A	4	5	80.0
KDM2B	1	1	100.0
KDM3B	0	1	0.0
KDM5B	1	5	20.0
KDM5C	16	44	36.36
KDM6A	4	37	10.81
KDR	1	1	100.0
KDSR	1	4	25.0
KERA	4	7	57.14
KHDC3L	2	5	40.0
KIAA0556	0	2	0.0
KIAA0586	3	26	11.54
KIAA0753	0	6	0.0
KIAA1109	4	6	66.67
KIAA1549	0	1	0.0
KIDINS220	0	4	0.0
KIF11	2	37	5.41
KIF14	2	9	22.22
KIF1A	43	58	74.14
KIF1B	3	4	75.0
KIF1BP	0	6	0.0
KIF1C	0	2	0.0
INCA1	2	4	50.0
KIF21A	9	9	100.0
KIF22	4	4	100.0
KIF23	1	1	100.0
KIF26B	0	1	0.0
KIF2A	4	4	100.0
KIF4A	0	1	0.0
KIF5A	13	16	81.25
KIF5B	1	1	100.0
KIF5C	0	2	0.0
KIF7	3	24	12.5
KIRREL3	1	2	50.0
KISS1	1	1	100.0
